tmdbId,title,genres
862,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
8844,Jumanji,Adventure|Children|Fantasy
949,Heat,Action|Crime|Thriller
710,GoldenEye,Action|Adventure|Thriller
524,Casino,Crime|Drama
5,Four Rooms,Comedy
9273,Ace Ventura: When Nature Calls,Comedy
63,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller
9598,Babe,Children|Drama
9603,Clueless,Comedy|Romance
9312,Mortal Kombat,Action|Adventure|Fantasy
807,Seven (a.k.a. Se7en),Mystery|Thriller
10530,Pocahontas,Animation|Children|Drama|Musical|Romance
629,"Usual Suspects, The",Crime|Mystery|Thriller
10634,Friday,Comedy
755,From Dusk Till Dawn,Action|Comedy|Horror|Thriller
9208,Broken Arrow,Action|Adventure|Thriller
406,"Hate (Haine, La)",Crime|Drama
9614,Happy Gilmore,Comedy
197,Braveheart,Action|Drama|War
103,Taxi Driver,Crime|Drama|Thriller
9737,Bad Boys,Action|Comedy|Crime|Drama|Thriller
10474,"Basketball Diaries, The",Drama
568,Apollo 13,Adventure|Drama|IMAX
414,Batman Forever,Action|Adventure|Comedy|Crime
8839,Casper,Adventure|Children
8963,Crimson Tide,Drama|Thriller|War
8068,Desperado,Action|Romance|Western
1572,Die Hard: With a Vengeance,Action|Crime|Thriller
9482,Judge Dredd,Action|Crime|Sci-Fi
9348,Species,Horror|Sci-Fi
9804,Waterworld,Action|Adventure|Sci-Fi
76,Before Sunrise,Drama|Romance
11017,Billy Madison,Comedy
2292,Clerks,Comedy
8467,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy
522,Ed Wood,Comedy|Drama
628,Interview with the Vampire: The Vampire Chronicles,Drama|Horror
11,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi
4476,Legends of the Fall,Drama|Romance|War|Western
241,Natural Born Killers,Action|Crime|Thriller
6950,Outbreak,Action|Drama|Sci-Fi|Thriller
101,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller
680,Pulp Fiction,Comedy|Crime|Drama|Thriller
2164,Stargate,Action|Adventure|Sci-Fi
11395,"Santa Clause, The",Comedy|Drama|Fantasy
278,"Shawshank Redemption, The",Crime|Drama
193,Star Trek: Generations,Adventure|Drama|Sci-Fi
1587,What's Eating Gilbert Grape,Drama
3049,Ace Ventura: Pet Detective,Comedy
9495,"Crow, The",Action|Crime|Fantasy|Thriller
888,"Flintstones, The",Children|Comedy|Fantasy
13,Forrest Gump,Comedy|Drama|Romance|War
712,Four Weddings and a Funeral,Comedy|Romance
8587,"Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX
854,"Mask, The",Action|Comedy|Crime|Fantasy
9359,Maverick,Adventure|Comedy|Western
36593,Naked Gun 33 1/3: The Final Insult,Action|Comedy
1637,Speed,Action|Romance|Thriller
36955,True Lies,Action|Adventure|Comedy|Romance|Thriller
2758,Addams Family Values,Children|Comedy|Fantasy
306,Beverly Hills Cop III,Action|Comedy|Crime|Thriller
1607,"Bronx Tale, A",Drama
6075,Carlito's Way,Crime|Drama
9350,Cliffhanger,Action|Adventure|Thriller
9571,Dazed and Confused,Comedy
9739,Demolition Man,Action|Adventure|Sci-Fi
37233,"Firm, The",Drama|Thriller
5503,"Fugitive, The",Thriller
9255,Hot Shots! Part Deux,Action|Comedy|War
329,Jurassic Park,Action|Adventure|Sci-Fi|Thriller
9593,Last Action Hero,Action|Adventure|Comedy|Fantasy
788,Mrs. Doubtfire,Comedy|Drama
9800,Philadelphia,Drama
8005,Robin Hood: Men in Tights,Comedy
424,Schindler's List,Drama|War
858,Sleepless in Seattle,Comedy|Drama|Romance
78,Blade Runner,Action|Sci-Fi|Thriller
9479,"Nightmare Before Christmas, The",Animation|Children|Fantasy|Musical
11969,Tombstone,Action|Drama|Western
319,True Romance,Crime|Thriller
771,Home Alone,Children|Comedy
251,Ghost,Comedy|Drama|Fantasy|Romance|Thriller
812,Aladdin,Adventure|Animation|Children|Comedy|Musical
280,Terminator 2: Judgment Day,Action|Sci-Fi
581,Dances with Wolves,Adventure|Drama|Western
268,Batman,Action|Crime|Thriller
274,"Silence of the Lambs, The",Crime|Horror|Thriller
408,Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical
10020,Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX
10895,Pinocchio,Animation|Children|Fantasy|Musical
114,Pretty Woman,Comedy|Romance
275,Fargo,Comedy|Crime|Drama|Thriller
10112,"Aristocats, The",Animation|Children
1592,Primal Fear,Crime|Drama|Mystery|Thriller
954,Mission: Impossible,Action|Adventure|Mystery|Thriller
8840,Dragonheart,Action|Adventure|Fantasy
2300,Space Jam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
9802,"Rock, The",Action|Adventure|Thriller
664,Twister,Action|Adventure|Romance|Thriller
9323,Ghost in the Shell (Kôkaku kidôtai),Animation|Sci-Fi
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War
627,Trainspotting,Comedy|Crime|Drama
602,Independence Day (a.k.a. ID4),Action|Adventure|Sci-Fi|Thriller
10545,"Hunchback of Notre Dame, The",Animation|Children|Drama|Musical|Romance
9894,"Cable Guy, The",Comedy|Thriller
9268,Eraser,Action|Drama|Thriller
9327,"Nutty Professor, The",Comedy|Fantasy|Romance|Sci-Fi
1645,"Time to Kill, A",Drama|Thriller
3595,Ransom,Crime|Thriller
10830,Matilda,Children|Comedy|Fantasy
238,"Godfather, The",Crime|Drama
872,Singin' in the Rain,Comedy|Musical|Romance
164,Breakfast at Tiffany's,Drama|Romance
426,Vertigo,Drama|Mystery|Romance|Thriller
567,Rear Window,Mystery|Thriller
213,North by Northwest,Action|Adventure|Mystery|Romance|Thriller
284,"Apartment, The",Comedy|Drama|Romance
239,Some Like It Hot,Comedy|Crime
289,Casablanca,Drama|Romance
804,Roman Holiday,Comedy|Drama|Romance
630,"Wizard of Oz, The",Adventure|Children|Fantasy|Musical
770,Gone with the Wind,Drama|Romance|War
599,Sunset Blvd. (a.k.a. Sunset Boulevard),Drama|Film-Noir|Romance
15,Citizen Kane,Drama|Mystery
62,2001: A Space Odyssey,Adventure|Drama|Sci-Fi
1585,It's a Wonderful Life,Children|Drama|Fantasy|Romance
10331,Night of the Living Dead,Horror|Sci-Fi|Thriller
864,Cool Runnings,Comedy
11224,Cinderella,Animation|Children|Fantasy|Musical|Romance
9078,"Sword in the Stone, The",Animation|Children|Fantasy|Musical
8367,Robin Hood: Prince of Thieves,Adventure|Drama
433,Mary Poppins,Children|Comedy|Fantasy|Musical
11360,Dumbo,Animation|Children|Drama|Musical
12092,Alice in Wonderland,Adventure|Animation|Children|Fantasy|Musical
10948,"Fox and the Hound, The",Animation|Children|Drama
15121,"Sound of Music, The",Musical|Romance
562,Die Hard,Action|Crime|Thriller
454,William Shakespeare's Romeo + Juliet,Drama|Romance
819,Sleepers,Thriller
11238,Aladdin and the King of Thieves,Animation|Children|Comedy|Fantasy|Musical|Romance
252,Willy Wonka & the Chocolate Factory,Children|Comedy|Fantasy|Musical
623,"Fish Called Wanda, A",Comedy|Crime
583,Monty Python's Life of Brian,Comedy
521,Dial M for Murder,Crime|Mystery|Thriller
88,Dirty Dancing,Drama|Musical|Romance
500,Reservoir Dogs,Crime|Mystery|Thriller
792,Platoon,Drama|War
402,Basic Instinct,Crime|Mystery|Thriller
601,E.T. the Extra-Terrestrial,Children|Drama|Sci-Fi
744,Top Gun,Action|Romance
2756,"Abyss, The",Action|Adventure|Sci-Fi|Thriller
1103,Escape from New York,Action|Adventure|Sci-Fi|Thriller
762,Monty Python and the Holy Grail,Adventure|Comedy|Fantasy
11216,Cinema Paradiso (Nuovo cinema Paradiso),Drama
975,Paths of Glory,Drama|War
409,"English Patient, The",Drama|Romance|War
510,One Flew Over the Cuckoo's Nest,Drama
1891,Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Sci-Fi
2493,"Princess Bride, The",Action|Adventure|Comedy|Fantasy|Romance
85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Action|Adventure
68,Brazil,Fantasy|Sci-Fi
679,Aliens,Action|Adventure|Horror|Sci-Fi
429,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",Action|Adventure|Western
389,12 Angry Men,Drama
947,Lawrence of Arabia,Adventure|Drama|War
185,"Clockwork Orange, A",Crime|Drama|Sci-Fi|Thriller
595,To Kill a Mockingbird,Drama
28,Apocalypse Now,Action|Drama|War
335,Once Upon a Time in the West (C'era una volta il West),Action|Drama|Western
1892,Star Wars: Episode VI - Return of the Jedi,Action|Adventure|Sci-Fi
769,Goodfellas,Crime|Drama
348,Alien,Horror|Sci-Fi
766,Army of Darkness,Action|Adventure|Comedy|Fantasy|Horror
539,Psycho,Crime|Horror
525,"Blues Brothers, The",Action|Comedy|Musical
240,"Godfather: Part II, The",Crime|Drama
600,Full Metal Jacket,Drama|War
279,Amadeus,Drama
311,Once Upon a Time in America,Crime|Drama
1578,Raging Bull,Drama
703,Annie Hall,Comedy|Romance
387,"Boot, Das (Boat, The)",Action|Drama|War
9277,"Sting, The",Comedy|Crime
490,"Seventh Seal, The (Sjunde inseglet, Det)",Drama
218,"Terminator, The",Action|Sci-Fi|Thriller
696,Manhattan,Comedy|Drama|Romance
207,Dead Poets Society,Drama
37247,"Graduate, The",Comedy|Drama|Romance
9322,"Femme Nikita, La (Nikita)",Action|Crime|Romance|Thriller
826,"Bridge on the River Kwai, The",Adventure|Drama|War
829,Chinatown,Crime|Film-Noir|Mystery|Thriller
694,"Shining, The",Horror
235,Stand by Me,Adventure|Drama
832,M,Crime|Film-Noir|Thriller
765,Evil Dead II (Dead by Dawn),Action|Comedy|Fantasy|Horror
5925,"Great Escape, The",Action|Adventure|Drama|War
11778,"Deer Hunter, The",Drama|War
137,Groundhog Day,Comedy|Fantasy|Romance
33,Unforgiven,Drama|Western
105,Back to the Future,Adventure|Comedy|Sci-Fi
149,Akira,Action|Adventure|Animation|Sci-Fi
8009,Highlander,Action|Adventure|Fantasy
3034,Young Frankenstein,Comedy|Fantasy
914,"Great Dictator, The",Comedy|Drama|War
756,Fantasia,Animation|Children|Fantasy|Musical
665,Ben-Hur,Action|Adventure|Drama
89,Indiana Jones and the Last Crusade,Action|Adventure
783,Gandhi,Drama
642,Butch Cassidy and the Sundance Kid,Action|Western
639,When Harry Met Sally...,Comedy|Romance
8077,Alien³ (a.k.a. Alien 3),Action|Horror|Sci-Fi|Thriller
814,"American Werewolf in London, An",Comedy|Horror|Thriller
571,"Birds, The",Horror|Thriller
6114,Dracula (Bram Stoker's Dracula),Fantasy|Horror|Romance|Thriller
1598,Cape Fear,Thriller
7340,Carrie,Drama|Fantasy|Horror|Thriller
377,"Nightmare on Elm Street, A",Horror|Thriller
794,"Omen, The",Horror|Mystery|Thriller
199,Star Trek: First Contact,Action|Adventure|Sci-Fi|Thriller
9279,Jingle All the Way,Children|Comedy
11674,101 Dalmatians,Adventure|Children|Comedy
1573,Die Hard 2,Action|Adventure|Thriller
152,Star Trek: The Motion Picture,Adventure|Sci-Fi
154,Star Trek II: The Wrath of Khan,Action|Adventure|Sci-Fi|Thriller
157,Star Trek III: The Search for Spock,Action|Adventure|Sci-Fi
168,Star Trek IV: The Voyage Home,Adventure|Comedy|Sci-Fi
364,Batman Returns,Action|Crime
621,Grease,Comedy|Musical|Romance
578,Jaws,Action|Horror
75,Mars Attacks!,Action|Comedy|Sci-Fi
9390,Jerry Maguire,Drama|Romance
378,Raising Arizona,Comedy
4232,Scream,Comedy|Horror|Mystery|Thriller
9361,"Last of the Mohicans, The",Action|Romance|War|Western
9619,Dante's Peak,Action|Thriller
638,Lost Highway,Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
9366,Donnie Brasco,Crime|Drama
1624,Liar Liar,Comedy
9360,Anaconda,Action|Adventure|Thriller
816,Austin Powers: International Man of Mystery,Action|Adventure|Comedy
18,"Fifth Element, The",Action|Adventure|Comedy|Sci-Fi
330,"Lost World: Jurassic Park, The",Action|Adventure|Sci-Fi|Thriller
1701,Con Air,Action|Adventure|Thriller
1639,Speed 2: Cruise Control,Action|Romance|Thriller
415,Batman & Robin,Action|Adventure|Fantasy|Thriller
11970,Hercules,Adventure|Animation|Children|Comedy|Musical
8874,My Best Friend's Wedding,Comedy|Romance
754,Face/Off,Action|Crime|Drama|Thriller
607,Men in Black (a.k.a. MIB),Action|Comedy|Sci-Fi
686,Contact,Drama|Sci-Fi
9387,Conan the Barbarian,Action|Adventure|Fantasy
10603,George of the Jungle,Children|Comedy
8413,Event Horizon,Horror|Sci-Fi|Thriller
8834,Conspiracy Theory,Drama|Mystery|Romance|Thriller
9772,Air Force One,Action|Thriller
1669,"Hunt for Red October, The",Action|Adventure|Thriller
2118,L.A. Confidential,Crime|Film-Noir|Mystery|Thriller
978,Seven Years in Tibet,Adventure|Drama|War
2649,"Game, The",Drama|Mystery|Thriller
2255,Chasing Amy,Comedy|Drama|Romance
3597,I Know What You Did Last Summer,Horror|Mystery|Thriller
1813,The Devil's Advocate,Drama|Mystery|Thriller
782,Gattaca,Drama|Sci-Fi|Thriller
1281,Bean,Comedy
4995,Boogie Nights,Drama
563,Starship Troopers,Action|Sci-Fi
37165,"Truman Show, The",Comedy|Drama|Sci-Fi
4824,"Jackal, The",Action|Thriller
9444,Anastasia,Adventure|Animation|Children|Drama|Musical
8078,Alien: Resurrection,Action|Horror|Sci-Fi
9574,Flubber,Children|Comedy|Fantasy
489,Good Will Hunting,Drama|Romance
9714,Home Alone 3,Children|Comedy
4233,Scream 2,Comedy|Horror|Mystery|Thriller
597,Titanic,Drama|Romance
714,Tomorrow Never Dies,Action|Adventure|Thriller
184,Jackie Brown,Crime|Drama|Thriller
115,"Big Lebowski, The",Comedy|Crime
2666,Dark City,Adventure|Film-Noir|Sci-Fi|Thriller
11003,"Wedding Singer, The",Comedy|Romance
10153,Sphere,Sci-Fi|Thriller
2898,As Good as It Gets,Comedy|Drama|Romance
9313,"Man in the Iron Mask, The",Action|Adventure|Drama
617,Wild Things,Crime|Drama|Mystery|Thriller
795,City of Angels,Drama|Fantasy|Romance
8656,Deep Impact,Drama|Sci-Fi|Thriller
929,Godzilla,Action|Sci-Fi|Thriller
1878,Fear and Loathing in Las Vegas,Adventure|Comedy|Drama
10674,Mulan,Adventure|Animation|Children|Comedy|Drama|Musical|Romance
846,"X-Files: Fight the Future, The",Action|Crime|Mystery|Sci-Fi|Thriller
3050,Dr. Dolittle,Comedy
95,Armageddon,Action|Romance|Sci-Fi|Thriller
944,Lethal Weapon 4,Action|Comedy|Crime|Thriller
11551,Small Soldiers,Animation|Children|Fantasy|War
473,Pi,Drama|Sci-Fi|Thriller
544,There's Something About Mary,Comedy|Romance
1366,Rocky,Drama
12102,Kramer vs. Kramer,Drama
380,Rain Man,Drama
13597,Labyrinth,Adventure|Fantasy|Musical
2108,"Breakfast Club, The",Comedy|Drama
4488,Friday the 13th,Horror|Mystery|Thriller
948,Halloween,Horror
10585,Child's Play,Horror|Thriller
609,Poltergeist,Horror|Thriller
9552,"Exorcist, The",Horror|Mystery
941,Lethal Weapon,Action|Comedy|Crime|Drama
942,Lethal Weapon 2,Action|Comedy|Crime|Drama
943,Lethal Weapon 3,Action|Comedy|Crime|Drama
927,Gremlins,Comedy|Horror
928,Gremlins 2: The New Batch,Comedy|Horror
9340,"Goonies, The",Action|Adventure|Children|Comedy|Fantasy
9342,"Mask of Zorro, The",Action|Comedy|Romance
19,Metropolis,Drama|Sci-Fi
165,Back to the Future Part II,Adventure|Comedy|Sci-Fi
196,Back to the Future Part III,Adventure|Comedy|Sci-Fi|Western
3170,Bambi,Animation|Children|Drama
346,Seven Samurai (Shichinin no samurai),Action|Adventure|Drama
841,Dune,Adventure|Sci-Fi
242,"Godfather: Part III, The",Crime|Drama|Mystery|Thriller
857,Saving Private Ryan,Action|Drama|War
10439,Hocus Pocus,Children|Comedy|Fantasy|Horror
9354,"Honey, I Shrunk the Kids",Adventure|Children|Comedy|Fantasy|Sci-Fi
9631,"Negotiator, The",Action|Crime|Drama|Mystery|Thriller
9820,"Parent Trap, The",Children|Comedy|Romance
793,Blue Velvet,Drama|Mystery|Thriller
9325,"Jungle Book, The",Animation|Children|Comedy|Musical
10340,Lady and the Tramp,Animation|Children|Comedy|Romance
10144,"Little Mermaid, The",Animation|Children|Comedy|Musical|Romance
12230,101 Dalmatians (One Hundred and One Dalmatians),Adventure|Animation|Children
10693,Peter Pan,Animation|Children|Fantasy|Musical
11319,"Rescuers, The",Adventure|Animation|Children|Crime|Drama
15969,"Return of Jafar, The",Adventure|Animation|Children|Fantasy|Musical|Romance
10882,Sleeping Beauty,Animation|Children|Musical
97,Tron,Action|Adventure|Sci-Fi
87,Indiana Jones and the Temple of Doom,Action|Adventure|Fantasy
2907,"Addams Family, The",Children|Comedy|Fantasy
15144,Sixteen Candles,Comedy|Romance
805,Rosemary's Baby,Drama|Horror|Thriller
34584,"NeverEnding Story, The",Adventure|Children|Fantasy
36647,Blade,Action|Horror|Thriller
4011,Beetlejuice,Comedy|Fantasy
1580,Rope,Crime|Drama|Thriller
847,Willow,Action|Adventure|Fantasy
117,"Untouchables, The",Action|Crime|Drama
10220,Rounders,Drama
431,Cube,Horror|Mystery|Sci-Fi|Thriller
881,"Few Good Men, A",Crime|Drama|Thriller
2109,Rush Hour,Action|Comedy|Crime|Thriller
8195,Ronin,Action|Crime|Thriller
1091,"Thing, The",Action|Horror|Sci-Fi|Thriller
162,Edward Scissorhands,Drama|Fantasy|Romance
8916,Antz,Adventure|Animation|Children|Comedy|Fantasy
12159,What Dreams May Come,Adventure|Drama|Fantasy|Romance
1955,"Elephant Man, The",Drama
2657,Pleasantville,Comedy|Drama|Fantasy
637,Life Is Beautiful (La Vita è bella),Comedy|Drama|Romance|War
73,American History X,Crime|Drama
10663,"Waterboy, The",Comedy
297,Meet Joe Black,Romance
9798,Enemy of the State,Action|Thriller
9487,"Bug's Life, A",Adventure|Animation|Children|Comedy
707,"View to a Kill, A",Action|Adventure|Thriller
9336,Police Academy,Comedy|Crime
9837,"Prince of Egypt, The",Animation|Musical
11545,Rushmore,Comedy|Drama
1934,Shakespeare in Love,Comedy|Drama|Romance
1369,Rambo: First Blood Part II,Action|Adventure|Thriller
1368,First Blood (Rambo: First Blood),Action|Adventure|Drama|Thriller
1370,Rambo III,Action|Adventure|Thriller|War
9326,Romancing the Stone,Action|Adventure|Comedy|Romance
1367,Rocky II,Action|Drama
1371,Rocky III,Action|Drama
1374,Rocky IV,Action|Drama
1375,Rocky V,Action|Drama
1885,"Karate Kid, The",Drama
8856,"Karate Kid, Part II, The",Action|Adventure|Drama
5825,Christmas Vacation (National Lampoon's Christmas Vacation),Comedy
9489,You've Got Mail,Comedy|Romance
8741,"Thin Red Line, The",Action|Drama|War
9276,"Faculty, The",Horror|Sci-Fi
10312,Patch Adams,Comedy|Drama
9426,"Fly, The",Drama|Horror|Sci-Fi|Thriller
30497,"Texas Chainsaw Massacre, The",Horror
192,"Name of the Rose, The (Name der Rose, Der)",Crime|Drama|Mystery|Thriller
9671,Crocodile Dundee,Adventure|Comedy
2112,Payback,Action|Thriller
1542,Office Space,Comedy|Crime
8224,8MM,Drama|Mystery|Thriller
871,Planet of the Apes,Action|Drama|Sci-Fi
9535,Analyze This,Comedy
796,Cruel Intentions,Drama
100,"Lock, Stock & Two Smoking Barrels",Comedy|Crime|Thriller
603,"Matrix, The",Action|Sci-Fi|Thriller
4951,10 Things I Hate About You,Comedy|Romance
1946,eXistenZ,Action|Sci-Fi|Thriller
1844,Entrapment,Crime|Thriller
564,"Mummy, The",Action|Adventure|Comedy|Fantasy|Horror|Thriller
1893,Star Wars: Episode I - The Phantom Menace,Action|Adventure|Sci-Fi
1924,Superman,Action|Adventure|Sci-Fi
8536,Superman II,Action|Sci-Fi
9531,Superman III,Action|Adventure|Sci-Fi
36685,"Rocky Horror Picture Show, The",Comedy|Horror|Musical|Sci-Fi
509,Notting Hill,Comedy|Romance
817,Austin Powers: The Spy Who Shagged Me,Action|Adventure|Comedy
37135,Tarzan,Adventure|Animation|Children|Drama
10376,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano)",Drama
104,Run Lola Run (Lola rennt),Action|Crime
9032,Big Daddy,Comedy
6488,Arachnophobia,Comedy|Horror
9473,"South Park: Bigger, Longer and Uncut",Animation|Comedy|Musical
8487,Wild Wild West,Action|Comedy|Sci-Fi|Western
2105,American Pie,Comedy|Romance
2667,"Blair Witch Project, The",Drama|Horror|Thriller
345,Eyes Wide Shut,Drama|Mystery|Thriller
620,Ghostbusters (a.k.a. Ghost Busters),Action|Comedy|Sci-Fi
2978,Ghostbusters II,Comedy|Fantasy|Sci-Fi
8914,Deep Blue Sea,Action|Horror|Sci-Fi|Thriller
4806,Runaway Bride,Comedy|Romance
967,Spartacus,Action|Drama|Romance|War
3175,Barry Lyndon,Drama|Romance|War
10386,"Iron Giant, The",Adventure|Animation|Children|Drama|Sci-Fi
745,"Sixth Sense, The",Drama|Horror|Mystery
813,Airplane!,Comedy
2280,Big,Comedy|Drama|Fantasy|Romance
1911,"13th Warrior, The",Action|Adventure|Fantasy
14,American Beauty,Drama|Romance
